"","player_name","first_name_punc","last_name_punc","first_name_lower","last_name_lower","last_name_suffix","espn_link","espn_number","espn_id","first_season","last_season"
"1006","Mike Scott","Mike","Scott","mike","scott",NA,"6622/mike-scott",6622,"mike-scott",2013,2019
"1007","Thomas Robinson","Thomas","Robinson","thomas","robinson",NA,"6618/thomas-robinson",6618,"thomas-robinson",2013,2017
"1008","Arnett Moultrie","Arnett","Moultrie","arnett","moultrie",NA,"6612/arnett-moultrie",6612,"arnett-moultrie",2013,2014
"1009","DeQuan Jones","DeQuan","Jones","dequan","jones",NA,"2325490/dequan-jones",2325490,"dequan-jones",2013,2013
"1010","Kyle O'Quinn","Kyle","O'Quinn","kyle","oquinn",NA,"6615/kyle-o'quinn",6615,"kyle-o'quinn",2013,2019
"1011","Mirza Teletovic","Mirza","Teletovic","mirza","teletovic",NA,"4385/mirza-teletovic",4385,"mirza-teletovic",2013,2018
"1012","Nando De Colo","Nando","De Colo","nando","de colo",NA,"3977/nando-de-colo",3977,"nando-de-colo",2013,2014
"1013","Orlando Johnson","Orlando","Johnson","orlando","johnson",NA,"6595/orlando-johnson",6595,"orlando-johnson",2013,2016
"1014","Pablo Prigioni","Pablo","Prigioni","pablo","prigioni",NA,"4182/pablo-prigioni",4182,"pablo-prigioni",2013,2016
"1015","Quincy Acy","Quincy","Acy","quincy","acy",NA,"6576/quincy-acy",6576,"quincy-acy",2013,2019
"1016","Victor Claver","Victor","Claver","victor","claver",NA,"3972/victor-claver",3972,"victor-claver",2013,2015
"1017","Will Barton","Will","Barton","will","barton",NA,"6579/will-barton",6579,"will-barton",2013,2019
"1018","Aron Baynes","Aron","Baynes","aron","baynes",NA,"2968439/aron-baynes",2968439,"aron-baynes",2013,2019
"1019","Bernard James","Bernard","James","bernard","james",NA,"6593/bernard-james",6593,"bernard-james",2013,2015
"1020","Doron Lamb","Doron","Lamb","doron","lamb",NA,"6604/doron-lamb",6604,"doron-lamb",2013,2014
"1021","Draymond Green","Draymond","Green","draymond","green",NA,"6589/draymond-green",6589,"draymond-green",2013,2019
"1022","Jeremy Lamb","Jeremy","Lamb","jeremy","lamb",NA,"6603/jeremy-lamb",6603,"jeremy-lamb",2013,2019
"1023","Joel Freeland","Joel","Freeland","joel","freeland",NA,"3004/joel-freeland",3004,"joel-freeland",2013,2015
"1024","Kendall Marshall","Kendall","Marshall","kendall","marshall",NA,"6607/kendall-marshall",6607,"kendall-marshall",2013,2016
"1025","Kevin Jones","Kevin","Jones","kevin","jones",NA,"2326257/kevin-jones",2326257,"kevin-jones",2013,2013
"1026","Kim English","Kim","English","kim","english",NA,"6586/kim-english",6586,"kim-english",2013,2013
