player_name,bbref_link,bbref_id,sportsref_id,first_year,last_year
Cedi Osman,o/osmande01,osmande01,,2018,2019
Cedric Bozeman,b/bozemce01,bozemce01,cedric-bozeman-1,2007,2007
Cedric Jackson,j/jacksce01,jacksce01,cedric-jackson-1,2010,2010
Cedric Simmons,s/simmoce01,simmoce01,cedric-simmons-1,2007,2009
Chandler Hutchison,h/hutchch01,hutchch01,chandler-hutchison-1,2019,2019
Chandler Parsons,p/parsoch01,parsoch01,chandler-parsons-1,2012,2019
Channing Frye,f/fryech01,fryech01,channing-frye-1,2006,2019
Charles Cooke,c/cookech01,cookech01,charles-cooke-1,2018,2018
Charles Jenkins,j/jenkich01,jenkich01,charles-jenkins-1,2012,2013
Charles Smith,s/smithch04,smithch04,charles-smith-3,2006,2006
Charlie Bell,b/bellch01,bellch01,charlie-bell-1,2006,2011
Charlie Villanueva,v/villach01,villach01,charlie-villanueva-1,2006,2016
Charlie Ward,w/wardch01,wardch01,charlie-ward-1,2005,2005
Chase Budinger,b/budinch01,budinch01,chase-budinger-1,2010,2016
Chasson Randle,r/randlch01,randlch01,chasson-randle-1,2017,2019
Chauncey Billups,b/billuch01,billuch01,chauncey-billups-1,2005,2014
Cheick Diallo,d/diallch01,diallch01,cheick-diallo-1,2017,2019
Cheikh Samb,s/sambch01,sambch01,,2008,2009
Chimezie Metu,m/metuch01,metuch01,chimezie-metu-1,2019,2019
Chinanu Onuaku,o/onuakch01,onuakch01,chinanu-onuaku-1,2017,2018
Chris Andersen,a/anderch01,anderch01,,2005,2017
Chris Babb,b/babbch01,babbch01,chris-babb-1,2014,2014
Chris Bosh,b/boshch01,boshch01,chris-bosh-1,2005,2016
Chris Boucher,b/bouchch01,bouchch01,chris-boucher-1,2018,2019
Chris Chiozza,c/chiozch01,chiozch01,chris-chiozza-1,2019,2019
Chris Copeland,c/copelch01,copelch01,chris-copeland-1,2013,2016
Chris Douglas-Roberts,d/douglch01,douglch01,chris-douglas-roberts-1,2009,2015
Chris Duhon,d/duhonch01,duhonch01,chris-duhon-1,2005,2013
Chris Hunter,h/huntech01,huntech01,chris-hunter-1,2010,2010
Chris Johnson,j/johnsch03,johnsch03,chris-johnson-2,2011,2013
Chris Johnson,j/johnsch04,johnsch04,chris-johnson-1,2013,2016
Chris Kaman,k/kamanch01,kamanch01,chris-kaman-1,2005,2016
Chris McCray,m/mccrach01,mccrach01,chris-mccray-1,2007,2007
Chris McCullough,m/mcculch01,mcculch01,chris-mccullough-1,2016,2018
Chris Mihm,m/mihmch01,mihmch01,chris-mihm-1,2005,2009
Chris Paul,p/paulch01,paulch01,chris-paul-1,2006,2019
Chris Quinn,q/quinnch01,quinnch01,chris-quinn-1,2007,2013
Chris Richard,r/richach01,richach01,chris-richard-1,2008,2010
Chris Singleton,s/singlch01,singlch01,chris-singleton-1,2012,2014
Chris Smith,s/smithch05,smithch05,chris-smith-4,2014,2014
Chris Taft,t/taftch01,taftch01,chris-taft-1,2006,2006
Chris Webber,w/webbech01,webbech01,chris-webber-1,2005,2008
Chris Wilcox,w/wilcoch01,wilcoch01,chris-wilcox-1,2005,2013
Chris Wright,w/wrighch01,wrighch01,chris-wright-1,2012,2014
Chris Wright,w/wrighch02,wrighch02,chris-wright-2,2013,2013
Christian Eyenga,e/eyengch01,eyengch01,,2011,2012
Christian Laettner,l/laettch01,laettch01,christian-laettner-1,2005,2005
Christian Wood,w/woodch01,woodch01,christian-wood-1,2016,2019
Chuck Hayes,h/hayesch01,hayesch01,chuck-hayes-1,2006,2016
Chucky Atkins,a/atkinch01,atkinch01,chucky-atkins-1,2005,2010
CJ McCollum,m/mccolcj01,mccolcj01,cj-mccollum-1,2014,2019
Clarence Weatherspoon,w/weathcl01,weathcl01,clarence-weatherspoon-1,2005,2005
Cleanthony Early,e/earlycl01,earlycl01,cleanthony-early-1,2015,2016
Cliff Alexander,a/alexacl01,alexacl01,cliff-alexander-1,2016,2016
Clifford Robinson,r/robincl02,robincl02,clifford-robinson-1,2005,2007
Clint Capela,c/capelca01,capelca01,,2015,2019
Coby Karl,k/karlco01,karlco01,coby-karl-1,2008,2010
Cody Zeller,z/zelleco01,zelleco01,cody-zeller-1,2014,2019
Cole Aldrich,a/aldrico01,aldrico01,cole-aldrich-1,2011,2018
Collin Sexton,s/sextoco01,sextoco01,collin-sexton-1,2019,2019
Corey Brewer,b/breweco01,breweco01,corey-brewer-1,2008,2019
Corey Maggette,m/maggeco01,maggeco01,corey-maggette-1,2005,2013
Corliss Williamson,w/willico02,willico02,corliss-williamson-1,2005,2007
Corsley Edwards,e/edwarco01,edwarco01,corsley-edwards-1,2005,2005
Cory Alexander,a/alexaco01,alexaco01,cory-alexander-1,2005,2005
Cory Higgins,h/higgico01,higgico01,cory-higgins-1,2012,2013
Cory Jefferson,j/jeffeco01,jeffeco01,cory-jefferson-1,2015,2016
Cory Joseph,j/josepco01,josepco01,cory-joseph-1,2012,2019
Coty Clarke,c/clarkco01,clarkco01,coty-clarke-1,2016,2016
Courtney Fortson,f/fortsco01,fortsco01,courtney-fortson-1,2012,2012
Courtney Lee,l/leeco01,leeco01,courtney-lee-1,2009,2019
Courtney Sims,s/simsco01,simsco01,courtney-sims-1,2008,2009
Craig Brackins,b/brackcr01,brackcr01,craig-brackins-1,2011,2012
Craig Smith,s/smithcr01,smithcr01,craig-smith-1,2007,2012
Cristiano Felicio,f/feliccr01,feliccr01,,2016,2019
Curtis Borchardt,b/borchcu01,borchcu01,curtis-borchardt-1,2005,2005
Cuttino Mobley,m/moblecu01,moblecu01,cuttino-mobley-1,2005,2009
D.J. Augustin,a/augusdj01,augusdj01,dj-augustin-1,2009,2019
D.J. Kennedy,k/kennedj01,kennedj01,dj-kennedy-1,2012,2012
